ICAO Code,AIPName,Type,Certification,Longitude,Latitude,Coords,Service,FlightRules,CommonName,Military,LandingType
NZLX ,ALEXANDRA ,AD ,None,451242S,1692224E,"[451242S, 1692224E]",NTL,IFR-VFR,Alexandra,,0
NZAR ,ARDMORE ,AH ,None,370147S,1745824E,"[370147S, 1745824E]",NTL,IFR-VFR,Ardmore,,0
NZBC ,ASB BANK CENTRE ,HP ,None,365100.0S,1744545.0E,"[365100.0S, 1744545.0E]",NTL,VFR,ASB Bank Centre,,Heliport
NZAS ,ASHBURTON ,AD ,None,435412S,1714748E,"[435412S, 1714748E]",NTL,IFR-VFR,Ashburton,,0
NZAW ,AUCKLAND HARBOUR ,AD ,None Water Aerodrome,365002.06S,1744548.55E,"[365002.06S, 1744548.55E]",NTL,VFR,Auckland Harbour,,"WaterAerodrome"
NZJL ,AUCKLAND HOSPITAL ,HP ,None,365133.0S,1744608.0E,"[365133.0S, 1744608.0E]",NTL,VFR,Auckland Hospital,,Heliport
NZAA ,AUCKLAND INTL ,AH ,Part 139,370029S,1744730E,"[370029S, 1744730E]",INTL-NTL,IFR-VFR,Auckland,,0
NZAL ,AVALON ,HP ,None,411112.0S,1745638.0E,"[411112.0S, 1745638.0E]",NTL,VFR,Avalon,,Heliport
NZBA ,BALCLUTHA ,AD ,None,461436.0S,1694500.0E,"[461436.0S, 1694500.0E]",NTL,VFR,Balclutha,,0
NZJI ,BAY OF ISLANDS HOSPITAL ,HP ,None,352309S,1740413E,"[352309S, 1740413E]",NTL,IFR-VFR,Bay of Islands Hospital,,Heliport
NZBW ,BURWOOD HOSPITAL ,HP ,None,432847.0S,1724113.0E,"[432847.0S, 1724113.0E]",NTL,VFR,Burwood Hospital,,Heliport
NZCG ,CENTENNIAL PARK ,AD ,None,383955S,1760805E,"[383955S, 1760805E]",NTL,VFR,Centennial Park,,0
NZCB ,CENTRE BUSH ,AD ,None,460224.0S,1681842.0E,"[460224.0S, 1681842.0E]",NTL,VFR,Centre Bush,,0
NZCI ,CHATHAM ISLANDS ,AD ,Part 139,434836S,1762726W,"[434836S, 1762726W]",NTL,IFR-VFR,Chatham Islands/Tuuta,,0
NZJC ,CHRISTCHURCH HOSPITAL ,HP ,None,433212.0S,1723720.0E,"[433212.0S, 1723720.0E]",NTL,VFR,Christchurch Hospital,,Heliport
NZCH ,CHRISTCHURCH INTL ,AH ,Part 139,432922S,1723204E,"[432922S, 1723204E]",INTL-NTL,IFR-VFR,Christchurch,,0
NZCX ,COROMANDEL ,AD ,None,364730.0S,1753031.0E,"[364730.0S, 1753031.0E]",NTL,VFR,Coromandel,,0
NZCW ,CROMWELL ,AD ,None,445848S,1691306E,"[445848S, 1691306E]",NTL,VFR,Cromwell,,0
NZCS ,CROMWELL RACECOURSE ,AD ,None,450255.0S,1691014.0E,"[450255.0S, 1691014.0E]",NTL,VFR,Cromwell Racecourse,,0
NZDV ,DANNEVIRKE ,AD ,None,401342.0S,1760443.0E,"[401342.0S, 1760443.0E]",NTL,VFR,Dannevirke,,0
NZDA ,DARGAVILLE ,AD ,None,355623.0S,1735337.0E,"[355623.0S, 1735337.0E]",NTL,VFR,Dargaville,,0
